email,booth,website,bio,fax,phone,name,address
,Booth no.:  4.1B33,,,,,969 Bush Textile Design Lab,"232-2 Xuecheng Rd, Sanxia, New Taipei 237, Taiwan, China"
lindaguo@vip.163.com,Booth no.:  6.1F46,,Upholstery Fabrics,(86)   0571 86201198,(86)   0571 86201576  ,Abby Home Textile ,"9# Building,493# Linping Avenue, Yuhang Economic Development Zone, Hangzhou, China"
nurhan.nalbant@advansa.com,Booth no.:  4.1F26,http://www.advansa.com,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc)",(49) 2388 840 2350,(49) 2388 840 2306,Advansa Marketing GmbH,"Frielinghauser Str 5, Hamm 59071, Germany"
arcc.s2s@gmail.com,Booth no.:  3L12,http://www.afghanistanrugscc.com,"Textile for Household Products, Carpet & Rugs, Decorative paintings, mirrors & frames, Ratten-weaved products/ Wooden handicrafts",,  93 799 343 535,Afghanistan Rug And Carpet Center (ARCC),"House #6, Main Rd, Wazir Akbar Khan, District 10, Kabul 1007, Afghanistan"
,Booth no.:  4.1C04,,,,,Afroze Textile Industries Pvt Ltd,
info@shadetextile.com,Booth no.:  4.1G56,http://www.shadehomefashion.com,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Other home textile products, Machinery for Home Textile (Digital printing, sewing machine), Textiles for hospitality industry",(90) 224 364 7597,(90) 224 360 0919,Ahmet Sabuncular Tekstil San Tic Ltd Sti,"Vatan Mah 7, Selvi Sok No 6/A, Bursa 16, Turkey"
akarca@akarcatekstil.com,Booth no.:  4.1H41,http://www.akarcatekstil.com,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration",(90) 224 261 2805,(90) 224 261 2800,Akarca Tekstil Kon San Tic A S,"Aliosman Sonmez Cad No 27, Dosab Osmangazi, Bursa 16245, Turkey"
alfalahtex@cyber.net.pk; alfalahtex@gmail.com,Booth no.:  4.1C07,http://www.alfalahtextiles.com,"Bedding & Towelling, Terry & toweling products & bath mats",,  92 301 822 2425,Al Falah Textiles,"DP-7 Sector 12-D, North Karachi Industrial Area, Karachi 75950, Pakistan"
joy.xiao@jecorporate.com,Booth no.:  4.1B37,,"Other home textile products, Design Artwork, Testing & Certification",,  86 21 6543 3207,Al-over,"Rm 203, West Tower, 800 Guo Shun Rd (E), Shanghai 200433, China"
"info@alerantekstil,com",Booth no.:  4.1G55,http://www.alerantekstil.com,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Textiles for hospitality industry",(90) 224 384 1555,(90) 224 384 1517,Aleran Tekstil Ins Gida San Ve Tic Ltd Sti,"Barakfakih Industrial Area, 17 Str No 4, Bursa 16460, Turkey"
zhaoyanmei617@sohu.com,Booth no.:  3Q40,http://www.cfw.com.cn,Other home textile products,(86)  86312665,(86)  18631266543,China Fashion Weekly,"Fuwai No.34,xicheng,District,Beijing "
1084895502@qq.com,Booth no.:  6.2A109,,Upholstery Fabrics,(86) 0573 87588157,(86) 0573 87588157,China Loong Curtain Store,"Room 40, Majiahe, Yongfu Cun, Xucun Town, Hailing City, Zhejiang Province"
847481046@qq.com,Booth no.:  3Q35,,Other home textile products,(86) 021 51687982,(86) 021 37707567,China Synthetic Leather Suppliers Magazine,"Room 1018No.69Lane 1399Husong  Road,  Shanghai, China"
3269771293@qq.com,Booth no.:  3Q38,,Other home textile products,(86) 010 85229015,(86) 010 85229015,China Textile,"Room 530,12 EAST Chang An Avenue,Beijing,PR China "
info@ctic.org.cn,Booth no.:  3Q39,http://www.texleader.com.cn,Upholstery Fabrics,(86) 010 85229713,(86) 010 85229713,China Textile Leader,"Rm 211, Xiao Yun Building, No.15 Xia Guang Li"
xuewy@cntac.org.cn,Booth no.:  3Q33,http://www.ctei.cn,"Other home textile products, Design Artwork, Testing & Certification, E-Commerce, Publication",(86) 010 85872111,(86) 010 85872546,"China Textile Network Co.,Ltd.","Room.201 Tower B,Huaye International Center,No.39 Midstreet,East 4th Ring Road,Chaoyang district,"
,Booth no.:  3Q37,,Accessories,(86)  87751055,(86)  87751892,China Textile News,No.18 East 3rd.ring Shuangjing Chaoyang Beijing
info@chinarinternational.com,Booth no.:  4.1A67,,"Textile for Household Products, Carpet & Rugs",(91) 120 460 0022,(91) 120 460 0000,Chinar International,"C-153, Sector-63, Noida, UP 201301, India"
qihongbuyi@vip.163.com,Booth no.:  4.1C102,,"Bedding & Towelling, Materials of bedding (fabrics, yarns etc), Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Sun Protection Systems & Accessories, Textile for smart home, Textile for Household Products, Table & kitchen linens, Other home textile products, Textiles for hospitality industry",,,Chun An Qiandao Lake Hengbo Textile Co Ltd,"No 19 Fuyaun Rd,  Linqi Town Chunan County, 311700, China"
paul@cinnamonjoestudio.com,Booth no.:  4.1A26,http://www.cinnamonjoestudio.co.uk,"Other home textile products, Design Artwork, Testing & Certification",,  44 7572 109013,Cinnamon Joe Studio Ltd,"16 Ballyclosh Lane, Cullybackey, N Ireland United Kingdom"
chenzhenhua@cixhuayu.cn,Booth no.:  3A52,http://www.cixihuayu.cn,Upholstery Fabrics,(86) 0574 63016968,(86) 0574 63014165,Cixi Huayu Upholstery Co.Ltd.,"No.88 Dachang Road, Kandun Industrial Zone, Cixi City, Zhejiang"
ds@cosmo-kumagai.co.jp; 1523203071@qq.com; 153414304@qq.com,Booth no.:  4.1B28,http://www.cosmo-kumagai.co.jp,"Other home textile products, Design Artwork, Testing & Certification",  81 75 495 3091,  81 75 495 3056 / 86 136 6180 8335/ 86 186 2171 4709,Cosmo Kumagai,"Sekiryu-cho 45-1, Murasakino Kita-ku, Kyoto 603 8212, Japan"
syh102299@126.com,Booth no.:  6.1G34,,Upholstery Fabrics,(86)  86213018,(86)  86189310,"Cotown Vision Tech.Hz.Co.,Ltd.","ROOM 1301 NO.1 BUILDING NO.101 WANYUE ROAD NANYUAN TOWN,YUHANG DISTRICT,HANGZHOU"
nathan@cottonconcepts.global,Booth no.:  4.1B16,http://www.cottonconcepts.cc,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Materials of bedding (fabrics, yarns etc), Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Upholstery leather & Soft decoration, Textile for Household Products, Carpet & Rugs, Table & kitchen linens, Other home textile products, Machinery for Home Textile (Digital printing, sewing machine), Textiles for hospitality industry",,  91 900 395 0599,Cotton Concepts (Coimbatore Cotton Concepts & Designs Pvt Ltd),"No 13 Netaji Rd, PN Palayam, Coimbatore 641037, India"
createxroy@gmail.com,Booth no.:  4.1J41,,"Upholstery Fabrics, Curtain, window screening products (fabrics & fine products)",(82) 2 2655 9332,(82) 2 2655 9331,Createx Inc,"#507 Knk Digital Tower, Youngshin-ro 220, Youngdeungpo-gu, Seoul 07228, Korea"
tahir_exp@ctm.com.pk,Booth no.:  4.1C17,http://www.ctm.com.pk,"Bedding & Towelling, Bedding products (bed linen, blanket, bedspread), Materials of bedding (fabrics, yarns etc), Cushion, Upholstery Fabrics, Curtain, window screening products (fabrics & fine products), Sun Protection Systems & Accessories, Textile for smart home, Textile for Household Products, Table & kitchen linens, Other home textile products, Machinery for Home Textile (Digital printing, sewing machine), Textiles for hospitality industry",(92) 41 878 6525,(92) 41 111 105 105,Crescent Textile Mills Ltd,"Sargodha Rd, Faisalabad, Punjab 38000, Pakistan"
